eTrappedCharge(C1(n63958_0s_des)) X,eTrappedCharge(C1(n63958_0s_des)) Y,eTrappedCharge(C2(n63958_0s_des)) X,eTrappedCharge(C2(n63958_0s_des)) Y,eTrappedCharge(C3(n63958_0s_des)) X,eTrappedCharge(C3(n63958_0s_des)) Y,eTrappedCharge(C4(n63958_0s_des)) X,eTrappedCharge(C4(n63958_0s_des)) Y,hTrappedCharge(C1(n63958_0s_des)) X,hTrappedCharge(C1(n63958_0s_des)) Y,hTrappedCharge(C2(n63958_0s_des)) X,hTrappedCharge(C2(n63958_0s_des)) Y,hTrappedCharge(C3(n63958_0s_des)) X,hTrappedCharge(C3(n63958_0s_des)) Y,hTrappedCharge(C4(n63958_0s_des)) X,hTrappedCharge(C4(n63958_0s_des)) Y
0.039500002,0,0.039400041,0,0.039296947,0,0.039468452,0,0.039500002,0,0.039400041,0,0.039296947,0,0.039468452,0
0.039771952,0,0.039500002,0,0.039500002,0,0.039500002,0,0.039771952,0,0.039500002,0,0.039500002,0,0.039500002,0
0.039999999,0,0.039800081,0,0.039593894,0,0.039936904,0,0.039999999,0,0.039800081,0,0.039593894,0,0.039936904,0
0.040271953,0,0.039999999,0,0.039999999,0,0.039999999,0,0.040271953,0,0.039999999,0,0.039999999,0,0.039999999,0
0.0405,0,0.040300082,0,0.040093891,0,0.040436905,0,0.0405,0,0.040300082,0,0.040093891,0,0.040436905,0
0.040771954,0,0.0405,0,0.0405,0,0.0405,0,0.040771954,0,0.0405,0,0.0405,0,0.0405,0
0.041000001,0,0.040800083,0,0.040593892,0,0.040936906,0,0.041000001,0,0.040800083,0,0.040593892,0,0.040936906,0
0.041271951,0,0.041000001,0,0.041000001,0,0.041000001,0,0.041271951,0,0.041000001,0,0.041000001,0,0.041000001,0
0.041499998,0,0.041300081,0,0.041093893,0,0.041436903,0,0.041499998,0,0.041300081,0,0.041093893,0,0.041436903,0
0.041771952,0,0.041499998,0,0.041499998,0,0.041499998,0,0.041771952,0,0.041499998,0,0.041499998,0,0.041499998,0
0.041999999,0,0.041800082,0,0.041593891,0,0.041936904,0,0.041999999,0,0.041800082,0,0.041593891,0,0.041936904,0
0.042271953,0,0.041999999,0,0.041999999,0,0.041999999,0,0.042271953,0,0.041999999,0,0.041999999,0,0.041999999,0
0.0425,0,0.042300083,0,0.042093892,0,0.042436905,0,0.0425,0,0.042300083,0,0.042093892,0,0.042436905,0
0.042771954,0,0.0425,0,0.0425,0,0.0425,0,0.042771954,0,0.0425,0,0.0425,0,0.0425,0
0.043000001,0,0.042800084,0,0.042593893,0,0.042936906,0,0.043000001,0,0.042800084,0,0.042593893,0,0.042936906,0
0.043271951,0,0.043000001,0,0.043000001,0,0.043000001,0,0.043271951,0,0.043000001,0,0.043000001,0,0.043000001,0
0.043499999,0,0.043300081,0,0.043093894,0,0.043436904,0,0.043499999,0,0.043300081,0,0.043093894,0,0.043436904,0
0.043771952,0,0.043499999,0,0.043499999,0,0.043499999,0,0.043771952,0,0.043499999,0,0.043499999,0,0.043499999,0
0.044,0,0.043800082,0,0.043593891,0,0.043936905,0,0.044,0,0.043800082,0,0.043593891,0,0.043936905,0
0.044271953,0,0.044,0,0.044,0,0.044,0,0.044271953,0,0.044,0,0.044,0,0.044,0
0.044500001,0,0.044300083,0,0.044093892,0,0.044436906,0,0.044500001,0,0.044300083,0,0.044093892,0,0.044436906,0
0.044771954,0,0.044500001,0,0.044500001,0,0.044500001,0,0.044771954,0,0.044500001,0,0.044500001,0,0.044500001,0
0.045000002,0,0.044800084,0,0.044593893,0,0.044936907,0,0.045000002,0,0.044800084,0,0.044593893,0,0.044936907,0
